a	ഒന്ന്
abandon	ഉപേക്ഷിക്കുക
ability	കഴിവ്
able	കഴിവുള്ള
abortion	ഗർഭച്ഛിദ്രം
about	കുറിച്ച്
above	മുകളിൽ
abroad	വിദേശത്ത്
absence	അഭാവം
absolute	കേവല
absolutely	തികച്ചും
absorb	ആഗിരണം
abuse	ദുരുപയോഗം
academic	അക്കാദമിക്
accept	സ്വീകരിക്കുക
access	പ്രവേശനം
accident	അപകടം
accompany	കൂടെപ്പോവുക
accomplish	നിറവേറ്റുക
according	പ്രകാരം
account	അക്കൗണ്ട്
accurate	കൃത്യം
accuse	ബോധിപ്പിക്കുന്ന
achieve	നേടിയെടുക്കാൻ
achievement	നേട്ടം
acid	ആസിഡ്
acknowledge	അംഗീകരിക്കുന്നു
acquire	സ്വന്തമാക്കുക
across	ഉടനീളം
act	പ്രവർത്തിക്കുക
action	നടപടി
active	സജീവമാണ്
activist	പ്രവർത്തകൻ
activity	പ്രവർത്തനം
actor	നടൻ
actress	നടി
actual	യഥാർത്ഥ
actually	യഥാർത്ഥത്തിൽ
ad	പരസ്യം
adapt	പൊരുത്തപ്പെടുത്തുക
add	ചേർക്കുക
addition	കൂട്ടിച്ചേർക്കൽ
additional	അധിക
address	വിലാസം
adequate	മതി
adjust	ക്രമീകരിക്കുക
adjustment	ക്രമീകരണം
administration	ഭരണകൂടം
administrator	അഡ്മിനിസ്ട്രേറ്റർ
admire	അഭിനന്ദിക്കുക
admission	പ്രവേശനം
admit	സമ്മതിക്കുക
adolescent	കൗമാരക്കാരൻ
adopt	ദത്തെടുക്കുക
adult	മുതിർന്നവർ
advance	മുൻകൂർ
advanced	പുരോഗമിച്ചത്
advantage	നേട്ടം
adventure	സാഹസികത
advertising	പരസ്യം ചെയ്യൽ
advice	ഉപദേശം
advise	ഉപദേശിക്കുക
adviser	ഉപദേശകൻ
advocate	അഭിഭാഷകൻ
affair	ബന്ധം
affect	ബാധിക്കും
afford	താങ്ങുക
afraid	ഭയപ്പെട്ടു
African	ആഫ്രിക്കൻ
African-American	ആഫ്രിക്കൻ അമേരിക്കൻ
after	ശേഷം
afternoon	ഉച്ചകഴിഞ്ഞ്
again	വീണ്ടും
against	എതിരായി
age	പ്രായം
agency	ഏജൻസി
agenda	അജണ്ട
agent	ഏജന്റ്
aggressive	ആക്രമണാത്മക
ago	മുമ്പ്
agree	സമ്മതിക്കുന്നു
agreement	ഉടമ്പടി
agricultural	കാർഷിക
ahead	മുന്നോട്ട്
aid	സഹായം
aide	സഹായി
AIDS	എയ്ഡ്സ്
aim	ലക്ഷ്യം
air	വായു
aircraft	വിമാനം
airline	എയർലൈൻ
airport	വിമാനത്താവളം
album	ആൽബം
alcohol	മദ്യം
alive	ജീവനോടെ
all	എല്ലാം
alliance	സഖ്യം
allow	അനുവദിക്കുക
ally	സഖ്യകക്ഷി
almost	ഏതാണ്ട്
alone	ഒറ്റയ്ക്ക്
along	കൂടെ
already	ഇതിനകം
also	കൂടാതെ
alter	മാറ്റുക
alternative	ബദൽ
although	എങ്കിലും
always	എപ്പോഴും
am	ഞാൻ
amazing	അത്ഭുതകരമായ
American	അമേരിക്കൻ
among	കൂട്ടത്തിൽ
amount	തുക
an	ഒരു
analysis	വിശകലനം
analyst	അനലിസ്റ്റ്
analyze	വിശകലനം ചെയ്യുക
ancient	പുരാതനമായ
and	ഒപ്പം
anger	കോപം

